Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text

attactionskills,progression,Attribute,,,Action Skills,
attActionSkillsName,progression,Attribute,,,Action Skills:,
attActionSkillsDesc,progression,Attribute,,,"These perks are leveled up by player action in game.  Everytime you use a item of a certain class, you gain experience in using it and will level your skill with said item.  Higher level will give you benifits for that item that may include reduced stamina usage, increased accuracy, heal more, etc.",

attclasscovertmaster,progression,Attribute,,,Class Covert,
attClassCovertMasterName,progression,Attribute,,,Class: Covert,
attClassCovertMasterDesc,progression,Attribute,,,"The covert class perks consists of: light armour, parkour, sexual tyrannosaurus, lightning hands, archery, stealth, brawling, domolitions and spear mastery.",
attClassCovertMasterRank1Desc,progression,Attribute,,,Level One,
attClassCovertMasterRank1LongDesc,progression,Attribute,,,Unlocks level one covert class perks once the first class quest is completed.  Player Level requirements also need to be met.,
attClassCovertMasterRank2Desc,progression,Attribute,,,Level Two,
attClassCovertMasterRank2LongDesc,progression,Attribute,,,Unlocks level two covert class perks once the third class quest is completed.  Player Level requirements also need to be met.,
attClassCovertMasterRank3Desc,progression,Attribute,,,Level Three,
attClassCovertMasterRank3LongDesc,progression,Attribute,,,Unlocks level three covert class perks once the class quest chain is completed.  Player Level requirements also need to be met.,

attclasssoldiermaster,progression,Attribute,,,Class Soldier,
attClassSoldierMasterName,progression,Attribute,,,Class: Soldier,
attClassSoldierMasterDesc,progression,Attribute,,,"The soldier class perks consists of: heavy armour, run and gun, skull crushing, whirlwind, deep cuts and guns.",
attClassSoldierMasterRank1Desc,progression,Attribute,,,Level One,
attClassSoldierMasterRank1LongDesc,progression,Attribute,,,Unlocks level one soldier class perks once the first class quest is completed.  Player Level requirements also need to be met.,
attClassSoldierMasterRank2Desc,progression,Attribute,,,Level Two,
attClassSoldierMasterRank2LongDesc,progression,Attribute,,,Unlocks level two soldier class perks once the third class quest is completed.  Player Level requirements also need to be met.,
attClassSoldierMasterRank3Desc,progression,Attribute,,,Level Three,
attClassSoldierMasterRank3LongDesc,progression,Attribute,,,Unlocks level three soldier class perks once the class quest chain is completed.  Player Level requirements also need to be met.,

attclasssurvivalistmaster,progression,Attribute,,,Class Survivalist,
attClassSurvivalistMasterName,progression,Attribute,,,Class: Survivalist,
attClassSurvivalistMasterDesc,progression,Attribute,,,"The survivalist class perks consists of: iron gut, master chef, physician, animal tracking, huntsman, living off the land, healing factors, pain tolerance and well insulated.",
attClassSurvivalistMasterRank1Desc,progression,Attribute,,,Level One,
attClassSurvivalistMasterRank1LongDesc,progression,Attribute,,,Unlocks level one survivalist class perks once the first class quest is completed.  Player Level requirements also need to be met.,
attClassSurvivalistMasterRank2Desc,progression,Attribute,,,Level Two,
attClassSurvivalistMasterRank2LongDesc,progression,Attribute,,,Unlocks level two survivalist class perks once the third class quest is completed.  Player Level requirements also need to be met.,
attClassSurvivalistMasterRank3Desc,progression,Attribute,,,Level Three,
attClassSurvivalistMasterRank3LongDesc,progression,Attribute,,,Unlocks level three survivalist class perks once the class quest chain is completed.  Player Level requirements also need to be met.,

attclasstechnicianmaster,progression,Attribute,,,Class Technician,
attClassTechnicianMasterName,progression,Attribute,,,Class: Technician,
attClassTechnicianMasterDesc,progression,Attribute,,,"The technician class perks consists of: lucky looter, pack mule, treasure hunter, charasmatic nature, calculated attacks, salvage operations, electricutioner, grease monkey and robotics inventor.",
attClassTechnicianMasterRank1Desc,progression,Attribute,,,Level One,
attClassTechnicianMasterRank1LongDesc,progression,Attribute,,,Unlocks level one technician class perks once the first class quest is completed.  Player Level requirements also need to be met.,
attClassTechnicianMasterRank2Desc,progression,Attribute,,,Level Two,
attClassTechnicianMasterRank2LongDesc,progression,Attribute,,,Unlocks level two technician class perks once the third class quest is completed.  Player Level requirements also need to be met.,
attClassTechnicianMasterRank3Desc,progression,Attribute,,,Level Three,
attClassTechnicianMasterRank3LongDesc,progression,Attribute,,,Unlocks level three technician class perks once the class quest chain is completed.  Player Level requirements also need to be met.,

attclasstradesmanmaster,progression,Attribute,,,Class Tradesman,
attClassTradesmanMasterName,progression,Attribute,,,Class: Tradesman,
attClassTradesmanMasterDesc,progression,Attribute,,,"Tradesman class perks consists of: better barter, miner 69er, motherlode, daring adventurer, lock picking, rule 1 cardio, ammo expertise, construction expertise and workstation expertise.",
attClassTradesmanMasterRank1Desc,progression,Attribute,,,Level One,
attClassTradesmanMasterRank1LongDesc,progression,Attribute,,,Unlocks level one tradesman class perks once the first class quest is completed.  Player Level requirements also need to be met.,
attClassTradesmanMasterRank2Desc,progression,Attribute,,,Level Two,
attClassTradesmanMasterRank2LongDesc,progression,Attribute,,,Unlocks level two tradesman class perks once the third class quest is completed.  Player Level requirements also need to be met.,
attClassTradesmanMasterRank3Desc,progression,Attribute,,,Level Three,
attClassTradesmanMasterRank3LongDesc,progression,Attribute,,,Unlocks level three tradesman class perks once the class quest chain is completed.  Player Level requirements also need to be met.,

attadvbenefits,progression,Attribute,,,Advanced Benefits,
attAdvBenefitsName,progression,Attribute,,,Advanced Benefits,
attAdvBenefitsDesc,progression,Attribute,,,At higher levels these perks will unlock offering you better benefits that will help you survive the apocalypse,
attAdvBenefitsRank1Desc,progression,Attribute,,,At higher levels these perks will unlock offering you better benefits that will help you survive the apocalypse,

attmagazinePerks,progression,Attribute,,,Magazine Perks,
attMagazinePerksName,progression,Attribute,,,Magazine Perks,
attMagazinePerksDesc,progression,Attribute,,,Equipping mods into your hands will increase these perks which give you bonus chance in finding stated magazine,
attMagazinePerksRank1Desc,progression,Attribute,,,Equipping mods into your hands will increase these perks which give you bonus chance in finding stated magazine,

skillCovertLevel1,progression,Attribute,,,Covert Defenses:,
skillCovertLevel1Name,progression,Attribute,,,Covert Defenses:,
skillCovertLevel1Desc,progression,Attribute,,,Level One of Covert Class unlocks the following perks.,

skillCovertLevel2,progression,Attribute,,,Hide & Seek:,
skillCovertLevel2Name,progression,Attribute,,,Hide & Seek:,
skillCovertLevel2Desc,progression,Attribute,,,Level Two of Covert Class unlocks the following perks.,

skillCovertLevel3,progression,Attribute,,,Explosive Fighting:,
skillCovertLevel3Name,progression,Attribute,,,Explosive Fighting:,
skillCovertLevel3Desc,progression,Attribute,,,Level Three of Covert Class unlocks the following perks.,

skillSoldierLevel1,progression,Attribute,,,Soldier Defenses:,
skillSoldierLevel1Name,progression,Attribute,,,Soldier Defenses:,
skillSoldierLevel1Desc,progression,Attribute,,,Level One of Soldier Class unlocks the following perks.,

skillSoldierLevel2,progression,Attribute,,,Melee Offense:,
skillSoldierLevel2Name,progression,Attribute,,,Melee Offense:,
skillSoldierLevel2Desc,progression,Attribute,,,Level Two of Soldier Class unlocks the following perks.,

skillSoldierLevel3,progression,Attribute,,,Firearm Offense:,
skillSoldierLevel3Name,progression,Attribute,,,Firearm Offense:,
skillSoldierLevel3Desc,progression,Attribute,,,Level Three of Soldier Class unlocks the following perks.,

skillSurvivalist1,progression,Attribute,,,Survival Skills:,
skillSurvivalist1Name,progression,Attribute,,,Survival Skills:,
skillSurvivalist1Desc,progression,Attribute,,,Level One of Survivalist Class unlocks the following perks.,

skillSurvivalist2,progression,Attribute,,,Expert Hunting & Foraging:,
skillSurvivalist2Name,progression,Attribute,,,Expert Hunting & Foraging:,
skillSurvivalist2Desc,progression,Attribute,,,Level Two of Survivalist Class unlocks the following perks.,

skillSurvivalist3,progression,Attribute,,,Well Being:,
skillSurvivalist3Name,progression,Attribute,,,Well Being:,
skillSurvivalist3Desc,progression,Attribute,,,Level Three of Survivalist Class unlocks the following perks.,

skillTechnician1,progression,Attribute,,,Loot & Pack:,
skillTechnician1Name,progression,Attribute,,,Loot & Pack:,
skillTechnician1Desc,progression,Attribute,,,Level One of Technician Class unlocks the following perks.,

skillTechnician2,progression,Attribute,,,Caring Operator:,
skillTechnician2Name,progression,Attribute,,,Caring Operator:,
skillTechnician2Desc,progression,Attribute,,,Level Two of Technician Class unlocks the following perks.,

skillTechnician3,progression,Attribute,,,Engineering:,
skillTechnician3Name,progression,Attribute,,,Engineering:,
skillTechnician3Desc,progression,Attribute,,,Level Three of Technician Class unlocks the following perks.,

skillTradesman1,progression,Attribute,,,Bartering Miner:,
skillTradesman1Name,progression,Attribute,,,Bartering Miner:,
skillTradesman1Desc,progression,Attribute,,,Level One of Tradesman Class unlocks the following perks.,

skillTradesman2,progression,Attribute,,,Rewarding Run:,
skillTradesman2Name,progression,Attribute,,,Rewarding Run:,
skillTradesman2Desc,progression,Attribute,,,Level Two of Tradesman Class unlocks the following perks.,

skillTradesman3,progression,Attribute,,,Craftsman Skills:,
skillTradesman3Name,progression,Attribute,,,Craftsman Skills:,
skillTradesman3Desc,progression,Attribute,,,Level Three of Tradesman Class unlocks the following perks.,

skillAdvBenefit1,progression,Attribute,,,Operations:,
skillAdvBenefit1Name,progression,Attribute,,,Operations:,
skillAdvBenefit1Desc,progression,Attribute,,,High player level perks to give you better quality of life.,

skillAdvBenefit2,progression,Attribute,,,Barter & Dash:,
skillAdvBenefit2Name,progression,Attribute,,,Barter & Dash:,
skillAdvBenefit2Desc,progression,Attribute,,,High player level perks to give you better quality of life.,

skillAdvBenefit3,progression,Attribute,,,Life Support:,
skillAdvBenefit3Name,progression,Attribute,,,Life Support:,
skillAdvBenefit3Desc,progression,Attribute,,,High player level perks to give you better quality of life.,

skillAdvBenefit4,progression,Attribute,,,Magazine Bonus Perks:,
skillAdvBenefit4Name,progression,Attribute,,,Magazine Bonus Perks:,
skillAdvBenefit4Desc,progression,Attribute,,,Mag Loot Bonus Mods you craft and equip to glasses will increase these levels,

skillCarryingCapacityName,progression,Skill,,,Smart Packaging,
skillCarryingCapacityDesc,progression,Skill,,,Reading each volume will grant you the ability to carry even more items without becoming encumbered. Reading the full set will grant you 5% boost to walking and runnning speed.,

perkEnforcerAPAmmoDesc,progression,Perk,,,Gain 20% more experience while using a 44 Magnum.,
perkEnforcerAPAmmoLongDesc,progression,Perk,,,Gain 20% more experience while using a 44 Magnum.,
perkEnforcerHPAmmoDesc,progression,Perk,,,Increased 44 mag ammo in loot.,
